,dfm smoothed,dfm filtered,ddfm code,ddfm code reduced size,ddfm code reduced size vs linear f,ddfm nnlin last neurons,ddfm nnlin code,ddfm nnlin code vs linear f
0,0.745911746316531,0.7421698233086994,0.9171941853791167,0.4889577990495971,0.18005047993958778,0.8910093527266253,0.45513071737916355,0.2225419000126776
1,0.6820338155179069,0.6810278688735572,0.9151808175641908,0.4307572978718264,0.19375436989436526,0.873377549972415,0.4456920375889339,0.1721667329449972
2,0.7192860462107499,0.7205284102202362,0.9176181331586999,0.39109314968950254,0.3552438578910776,0.8967290417068676,0.41240377731250316,0.3463750507683488
3,0.7377104791287965,0.7378000925533618,0.90416858238301,0.6146638940342255,0.3449179554774371,0.9020625624577494,0.5257585077983697,0.36872398133019874
4,0.7144755386104524,0.7134126970670105,0.9061987578822516,0.4501584185216937,0.19714139290056482,0.8817319396808712,0.4360096450394848,0.20917527156588223
5,0.7193849450449693,0.7199142573750378,0.8995235922640739,0.47840910943117,0.33268668521707073,0.8840570561076769,0.43224576300265266,0.17919569623518403
6,0.6886092092487973,0.6887454215852064,0.8991538160270119,0.44084504427280347,0.21780285177363135,0.8858707219896429,0.44104887959976613,0.35269069073159887
7,0.7082672079230258,0.7069109091410637,0.9247063112296079,0.40934441341583977,0.19664681823617527,0.8894617410537256,0.4099325190902839,0.16375744329100492
8,0.7291436271371561,0.7289899398067335,0.9203730339551968,0.4701900612053881,0.22779295117145393,0.8729125584187745,0.481109243525393,0.17517229515430066
9,0.7151905162308138,0.7147037118131759,0.9014847844776704,0.3375918134625814,0.24188370469036097,0.8648216850491245,0.41997145384786033,0.2949189140532765
10,0.6910546947818077,0.6923903985029363,0.9008731368245747,0.40045967229071033,0.27730649305900007,0.8657330566430376,0.38586002804316233,0.25132809927001293
11,0.7269285735577015,0.7273695971111381,0.9310206179512086,0.5070518323783519,0.3559683696957945,0.9055602876972562,0.5198415075497492,0.321461895651357
12,0.6953349117470115,0.6964027763256191,0.9001715857951903,0.43317096984986353,0.19503261436280242,0.8622641854916224,0.4909251600424478,0.19117171476370107
13,0.7162808413667053,0.7147511604555719,0.9223699307610795,0.4759923976525079,0.36539146920273996,0.9031500194311856,0.44481536876697597,0.4258898460827443
14,0.7313961572046653,0.7309375291032331,0.9256217036749809,0.5206024531995334,0.3009053936056534,0.8989725519006362,0.4786725330499894,0.2275264715692993
15,0.6875660087559325,0.6872339425377965,0.8913299630765592,0.4096820395524015,0.4037010505296222,0.8965774223783401,0.39400385041861885,0.3855694454227722
16,0.7281809756616421,0.7271167088609792,0.9186486384979881,0.46172961755368314,0.29036343022953237,0.9022583019427679,0.3748559202771964,0.3725202506416437
